Track,Test Case,Matcher,Type,Precision (P),Recall (R),Residual Recall (R+),F1,"# of TP","# of FP","# of FN","# of Correspondences",Time,Time (HH:MM:SS)
anatomy_track,mouse-human-suite,LSMatch,ALL,0.032347856661490225,0.7282321899736148,0.29809358752166376,0.061944171693084575,1104,33025,412,34129,312589051700,00:05:12
anatomy_track,mouse-human-suite,LSMatch,CLASSES,0.032347856661490225,0.7282321899736148,0.29809358752166376,0.061944171693084575,1104,33025,412,34129,-,-
anatomy_track,mouse-human-suite,LSMatch,PROPERTIES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
anatomy_track,mouse-human-suite,LSMatch,INSTANCES,0.0,0.0,0.0,0.0,0,0,0,0,-,-
