Track,Matcher,Type,Macro Precision (P),Macro Recall (R),Residual Macro Recall (R+),Macro F1,Micro Precision (P),Micro Recall (R),Residual Micro Recall (R+),Micro F1,"# of TP","# of Residual TP","# of FP","# of FN","# of Correspondences",Total Runtime,Total Runtime (HH:MM:SS)
anatomy_track,LSMatch,ALL,0.9929078014184397,0.18469656992084432,0.012131715771230503,0.31145717463848716,0.9929078014184397,0.18469656992084432,0.012131715771230503,0.31145717463848716,280,7,2,1236,282,420618740600,00:07:00
anatomy_track,LSMatch,CLASSES,0.9929078014184397,0.18469656992084432,0.012131715771230503,0.31145717463848716,0.9929078014184397,0.18469656992084432,0.012131715771230503,0.31145717463848716,280,7,2,1236,282,-,-
anatomy_track,LSMatch,PROPERTIES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
anatomy_track,LSMatch,INSTANCES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,-,-
